date,season,month,weekday,is_holiday,is_workday,weather,temp_c,feels_like_c,humidity_pct,wind_kmh,rentals
2011-01-01,winter,1,saturday,no,no,misty,8.2,8.0,81,10.7,985
2011-01-02,winter,1,sunday,no,no,misty,9.1,7.3,70,16.7,801
2011-01-03,winter,1,monday,no,yes,clear,1.2,-3.5,44,16.6,1349
2011-01-04,winter,1,tuesday,no,yes,clear,1.4,-2.0,59,10.7,1562
2011-01-05,winter,1,wednesday,no,yes,clear,2.7,-0.9,44,12.5,1600
2011-01-06,winter,1,thursday,no,yes,clear,1.6,-0.6,52,6.0,1606
2011-01-07,winter,1,friday,no,yes,misty,1.2,-2.2,50,11.3,1510
2011-01-08,winter,1,saturday,no,no,misty,-0.2,-5.3,54,17.9,959
2011-01-09,winter,1,sunday,no,no,clear,-1.5,-8.3,43,24.3,822
2011-01-10,winter,1,monday,no,yes,clear,-0.9,-6.0,48,15.0,1321
2011-01-11,winter,1,tuesday,no,yes,misty,-0.1,-3.4,69,8.2,1263
2011-01-12,winter,1,wednesday,no,yes,clear,0.1,-5.4,60,20.4,1162
2011-01-13,winter,1,thursday,no,yes,clear,-0.2,-6.0,47,20.2,1406
2011-01-14,winter,1,friday,no,yes,clear,-0.4,-3.6,54,8.5,1421
2011-01-15,winter,1,saturday,no,no,misty,3.0,0.4,50,10.6,1248
2011-01-16,winter,1,sunday,no,no,clear,2.9,-0.5,48,12.6,1204
2011-01-17,winter,1,monday,yes,no,misty,0.3,-4.3,54,13.0,1000
2011-01-18,winter,1,tuesday,no,yes,misty,2.2,-0.7,86,9.8,683
2011-01-19,winter,1,wednesday,no,yes,misty,5.7,3.7,74,14.0,1650
2011-01-20,winter,1,thursday,no,yes,misty,4.3,0.8,54,13.1,1927
2011-01-21,winter,1,friday,no,yes,clear,0.3,-5.6,46,23.7,1543
2011-01-22,winter,1,saturday,no,no,clear,-5.2,-10.8,40,11.5,981
2011-01-23,winter,1,sunday,no,no,clear,-3.5,-9.5,44,16.5,986
2011-01-24,winter,1,monday,no,yes,clear,-3.4,-8.2,49,10.6,1416
2011-01-25,winter,1,tuesday,no,yes,misty,2.5,-0.5,62,8.7,1985
2011-01-26,winter,1,wednesday,no,yes,light_rain,2.2,-2.6,86,19.7,506
2011-01-27,winter,1,thursday,no,yes,clear,1.2,-1.5,69,7.6,431
2011-01-28,winter,1,friday,no,yes,misty,1.6,-1.3,79,8.3,1167
2011-01-29,winter,1,saturday,no,no,clear,1.2,-2.0,65,9.7,1098
2011-01-30,winter,1,sunday,no,no,clear,2.2,0.5,72,5.0,1096
2011-01-31,winter,1,monday,no,yes,misty,0.5,-3.7,60,12.5,1501
2011-02-01,winter,2,tuesday,no,yes,misty,1.0,-0.5,83,3.6,1360
2011-02-02,winter,2,wednesday,no,yes,misty,4.2,0.8,78,17.7,1526
2011-02-03,winter,2,thursday,no,yes,clear,0.8,-4.3,44,18.6,1550
2011-02-04,winter,2,friday,no,yes,misty,1.9,-0.9,59,8.6,1708
2011-02-05,winter,2,saturday,no,no,misty,3.0,0.0,93,10.8,1005
2011-02-06,winter,2,sunday,no,no,clear,5.4,3.3,57,9.5,1623
2011-02-07,winter,2,monday,no,yes,clear,4.8,4.0,74,3.0,1712
2011-02-08,winter,2,tuesday,no,yes,clear,2.4,-2.9,54,24.3,1530
2011-02-09,winter,2,wednesday,no,yes,misty,-1.7,-6.5,49,12.7,1605
2011-02-10,winter,2,thursday,no,yes,clear,-1.2,-6.1,44,14.9,1538
2011-02-11,winter,2,friday,no,yes,clear,0.9,-1.9,51,7.3,1746
2011-02-12,winter,2,saturday,no,no,clear,2.5,-0.6,54,13.6,1472
2011-02-13,winter,2,sunday,no,no,clear,6.9,5.4,46,17.5,1589
2011-02-14,winter,2,monday,no,yes,clear,11.5,10.3,38,28.0,1913
2011-02-15,winter,2,tuesday,no,yes,clear,4.5,0.8,31,19.5,1815
2011-02-16,winter,2,wednesday,no,yes,clear,7.0,4.9,42,16.9,2115
2011-02-17,winter,2,thursday,no,yes,clear,12.5,12.3,50,15.4,2475
2011-02-18,winter,2,friday,no,yes,clear,16.5,17.8,52,17.7,2927
2011-02-19,winter,2,saturday,no,no,clear,10.8,9.8,19,34.0,1635
2011-02-20,winter,2,sunday,no,no,clear,5.4,2.3,41,15.0,1812
2011-02-21,winter,2,monday,yes,no,misty,6.3,2.7,60,20.6,1107
2011-02-22,winter,2,tuesday,no,yes,clear,0.6,-3.7,58,13.1,1450
2011-02-23,winter,2,wednesday,no,yes,clear,2.4,0.2,42,6.3,1917
2011-02-24,winter,2,thursday,no,yes,misty,5.9,3.1,70,16.8,1807
2011-02-25,winter,2,friday,no,yes,misty,9.1,7.1,71,23.2,1461
2011-02-26,winter,2,saturday,no,no,clear,5.3,2.6,54,12.5,1969
2011-02-27,winter,2,sunday,no,no,clear,8.1,7.2,68,8.4,2402
2011-02-28,winter,2,monday,no,yes,misty,11.1,10.4,88,19.4,1446
2011-03-01,winter,3,tuesday,no,yes,clear,4.5,1.4,54,14.5,1851
2011-03-02,winter,3,wednesday,no,yes,clear,7.7,5.1,45,20.6,2134
2011-03-03,winter,3,thursday,no,yes,clear,1.3,-2.8,32,15.1,1685
2011-03-04,winter,3,friday,no,yes,misty,4.3,0.9,61,13.6,1944
2011-03-05,winter,3,saturday,no,no,misty,10.1,9.0,79,16.9,2077
2011-03-06,winter,3,sunday,no,no,misty,9.7,8.2,95,23.0,605
2011-03-07,winter,3,monday,no,yes,clear,4.3,-0.3,55,22.9,1872
2011-03-08,winter,3,tuesday,no,yes,clear,5.7,4.0,42,8.1,2133
2011-03-09,winter,3,wednesday,no,yes,misty,5.9,2.9,78,14.8,1891
2011-03-10,winter,3,thursday,no,yes,light_rain,10.3,9.5,0,17.5,623
2011-03-11,winter,3,friday,no,yes,misty,6.9,4.1,65,15.6,1977
2011-03-12,winter,3,saturday,no,no,clear,7.5,5.5,59,14.8,2132
2011-03-13,winter,3,sunday,no,no,clear,10.1,9.1,53,18.1,2417
2011-03-14,winter,3,monday,no,yes,clear,7.3,5.9,50,9.2,2046
2011-03-15,winter,3,tuesday,no,yes,misty,6.9,5.0,66,12.3,2056
2011-03-16,winter,3,wednesday,no,yes,misty,9.2,8.2,78,13.6,2192
2011-03-17,winter,3,thursday,no,yes,clear,11.5,11.1,60,14.0,2744
2011-03-18,winter,3,friday,no,yes,clear,17.4,18.8,53,15.5,3239
2011-03-19,winter,3,saturday,no,no,clear,14.2,14.8,38,24.7,3117
2011-03-20,winter,3,sunday,no,no,clear,7.6,5.5,47,13.9,2471
2011-03-21,spring,3,monday,no,yes,misty,12.2,11.0,74,19.3,2077
2011-03-22,spring,3,tuesday,no,yes,clear,12.8,13.1,62,15.1,2703
2011-03-23,spring,3,wednesday,no,yes,misty,8.3,6.3,84,15.7,2121
2011-03-24,spring,3,thursday,no,yes,misty,5.4,1.9,81,16.3,1865
2011-03-25,spring,3,friday,no,yes,clear,4.4,0.9,50,15.5,2210
2011-03-26,spring,3,saturday,no,no,clear,4.5,1.0,39,14.0,2496
2011-03-27,spring,3,sunday,no,no,misty,3.9,0.5,49,12.3,1693
2011-03-28,spring,3,monday,no,yes,clear,4.4,1.0,30,14.2,2028
2011-03-29,spring,3,tuesday,no,yes,clear,6.2,3.3,31,15.2,2425
