name,element,home,attack,defense,magic,speed,height_cm,weight_kg,is_boss
monster_000,ghost,ocean,123,126,90,108,237,76.7,no
monster_001,water,volcano,88,56,139,30,247,128.3,yes
monster_002,water,ocean,95,112,88,37,203,173.9,yes
monster_003,water,cave,118,123,30,105,171,119.1,yes
monster_004,grass,sky,83,85,129,24,274,157.0,yes
monster_005,rock,ocean,105,37,115,55,64,34.6,yes
monster_006,ghost,forest,111,52,58,119,200,134.0,no
monster_007,ghost,ocean,44,76,63,128,80,49.6,no
monster_008,rock,cave,26,50,96,79,213,85.7,no
monster_009,ghost,cave,53,30,111,127,130,28.5,no
monster_010,fire,forest,51,38,101,126,145,43.6,no
monster_011,fire,volcano,116,126,125,132,115,84.8,no
monster_012,water,sky,120,62,19,49,196,122.7,no
monster_013,fire,cave,20,83,138,50,33,24.7,yes
monster_014,rock,ocean,74,68,73,99,250,45.8,no
monster_015,grass,cave,110,108,44,20,138,113.9,yes
monster_016,water,volcano,34,31,38,51,314,137.1,no
monster_017,ghost,sky,107,51,68,66,151,127.5,yes
monster_018,water,forest,33,84,49,126,52,31.0,no
monster_019,rock,ocean,71,108,132,135,102,57.2,no
monster_020,grass,ocean,109,70,74,61,155,118.4,yes
monster_021,rock,sky,53,97,132,111,132,81.7,no
monster_022,ghost,volcano,57,108,97,85,95,62.3,yes
monster_023,water,forest,50,90,58,27,116,31.1,no
monster_024,grass,forest,99,110,62,67,238,143.6,yes
monster_025,ghost,forest,48,124,132,104,129,53.8,no
monster_026,grass,volcano,128,44,95,104,62,12.8,no
monster_027,fire,sky,68,67,62,130,203,50.7,no
monster_028,fire,ocean,72,44,107,95,240,122.4,no
monster_029,grass,cave,75,65,58,136,166,57.6,no
monster_030,fire,ocean,84,20,38,74,235,170.1,no
monster_031,rock,volcano,80,96,108,105,75,18.1,no
monster_032,grass,forest,76,45,21,94,59,9.5,no
monster_033,ghost,cave,129,111,71,123,257,230.7,no
monster_034,fire,sky,108,99,63,131,255,98.1,no
monster_035,ghost,cave,107,56,68,121,171,91.0,no
monster_036,ghost,volcano,97,69,37,134,163,50.1,no
monster_037,water,volcano,88,93,60,63,154,47.2,no
monster_038,grass,volcano,57,65,26,139,82,37.0,no
monster_039,water,cave,128,42,66,31,232,172.2,yes
monster_040,grass,forest,71,24,105,64,131,23.5,yes
monster_041,ghost,forest,43,80,28,107,244,189.8,no
monster_042,fire,ocean,112,78,29,94,149,133.0,no
monster_043,grass,cave,37,104,17,36,273,155.4,no
monster_044,rock,sky,114,34,118,101,273,114.7,no
monster_045,water,sky,87,27,108,66,262,85.3,yes
monster_046,fire,cave,32,100,15,115,96,27.6,no
monster_047,fire,cave,24,100,83,139,219,86.0,no
monster_048,fire,volcano,68,107,70,44,244,192.5,no
monster_049,ghost,ocean,23,21,97,87,234,35.7,no
