edible,cap_shape,cap_surface,cap_color,has_bruises,smell,gill_size,gill_color,stalk_shape,ring_number,ring_type,spore_color,population,habitat
poisonous,convex,smooth,brown,yes,pungent,narrow,black,enlarging,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,yes,almond,broad,black,enlarging,one,pendant,brown,numerous,grasses
edible,bell,smooth,white,yes,anise,broad,brown,enlarging,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,yes,pungent,narrow,brown,enlarging,one,pendant,black,scattered,urban
edible,convex,smooth,gray,no,none,broad,black,tapering,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,numerous,grasses
edible,bell,smooth,white,yes,almond,broad,gray,enlarging,one,pendant,black,numerous,meadows
edible,bell,scaly,white,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,yes,pungent,narrow,pink,enlarging,one,pendant,black,several,grasses
edible,bell,smooth,yellow,yes,almond,broad,gray,enlarging,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,yes,anise,broad,gray,enlarging,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,yes,almond,broad,white,enlarging,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,yes,pungent,narrow,black,enlarging,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,broad,brown,tapering,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,no,none,narrow,black,enlarging,one,pendant,brown,solitary,urban
edible,flat,fibrous,white,no,none,broad,black,tapering,one,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,yes,pungent,narrow,brown,enlarging,one,pendant,black,scattered,grasses
poisonous,convex,scaly,white,yes,pungent,narrow,brown,enlarging,one,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,yes,pungent,narrow,black,enlarging,one,pendant,brown,scattered,urban
edible,bell,smooth,yellow,yes,almond,broad,black,enlarging,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,yes,pungent,narrow,brown,enlarging,one,pendant,brown,several,grasses
edible,bell,scaly,yellow,yes,anise,broad,black,enlarging,one,pendant,brown,scattered,meadows
edible,bell,scaly,white,yes,almond,broad,white,enlarging,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,yes,anise,broad,gray,enlarging,one,pendant,black,scattered,meadows
poisonous,flat,smooth,white,yes,pungent,narrow,brown,enlarging,one,pendant,brown,several,grasses
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,brown,numerous,meadows
edible,convex,scaly,white,yes,anise,broad,white,enlarging,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,narrow,black,enlarging,one,pendant,black,solitary,urban
edible,convex,smooth,yellow,yes,almond,narrow,brown,tapering,one,pendant,brown,several,woods
edible,bell,smooth,yellow,yes,anise,broad,gray,enlarging,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,yes,pungent,narrow,black,enlarging,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,yes,anise,broad,brown,enlarging,one,pendant,brown,numerous,meadows
edible,convex,scaly,brown,yes,anise,broad,pink,enlarging,one,pendant,brown,solitary,paths
edible,bell,scaly,yellow,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,yes,anise,narrow,white,tapering,one,pendant,brown,several,woods
edible,sunken,fibrous,gray,no,none,narrow,black,enlarging,one,pendant,black,several,urban
poisonous,convex,scaly,brown,yes,pungent,narrow,white,enlarging,one,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,yes,almond,narrow,pink,tapering,one,pendant,brown,several,woods
edible,bell,smooth,yellow,yes,anise,broad,black,enlarging,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,anise,broad,brown,enlarging,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,none,narrow,gray,enlarging,one,pendant,black,solitary,urban
poisonous,convex,scaly,white,yes,pungent,narrow,pink,enlarging,one,pendant,brown,several,grasses
edible,convex,smooth,yellow,yes,almond,broad,white,enlarging,one,pendant,black,numerous,meadows
edible,convex,scaly,white,yes,almond,broad,brown,enlarging,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,anise,broad,black,enlarging,one,pendant,black,scattered,meadows
edible,convex,smooth,white,yes,anise,broad,white,enlarging,one,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,paths
edible,flat,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,black,scattered,paths
edible,convex,scaly,brown,yes,almond,broad,white,enlarging,one,pendant,black,scattered,grasses
edible,convex,smooth,white,yes,anise,broad,black,enlarging,one,pendant,black,scattered,grasses
edible,bell,smooth,white,yes,anise,broad,black,enlarging,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,brown,yes,pungent,narrow,black,enlarging,one,pendant,brown,several,urban
poisonous,convex,smooth,white,yes,pungent,narrow,black,enlarging,one,pendant,black,several,urban
edible,bell,scaly,yellow,yes,almond,broad,white,enlarging,one,pendant,black,scattered,meadows
edible,flat,fibrous,gray,no,none,broad,brown,tapering,one,evanescent,brown,abundant,grasses
edible,bell,smooth,white,yes,almond,broad,white,enlarging,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,yes,anise,broad,black,enlarging,one,pendant,black,numerous,grasses
edible,convex,scaly,brown,yes,almond,broad,pink,enlarging,one,pendant,black,solitary,paths
edible,sunken,fibrous,gray,no,none,narrow,black,enlarging,one,pendant,brown,several,urban
edible,bell,scaly,yellow,yes,almond,broad,black,enlarging,one,pendant,brown,scattered,meadows
edible,bell,smooth,yellow,yes,anise,broad,gray,enlarging,one,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,yes,anise,broad,gray,enlarging,one,pendant,brown,numerous,meadows
edible,bell,scaly,white,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,grasses
edible,flat,smooth,brown,no,none,broad,black,tapering,one,evanescent,black,abundant,grasses
edible,convex,smooth,white,yes,anise,broad,brown,enlarging,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,yes,almond,broad,white,enlarging,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,almond,broad,white,enlarging,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,none,narrow,pink,enlarging,one,pendant,brown,several,urban
edible,flat,fibrous,yellow,yes,anise,narrow,pink,tapering,one,pendant,brown,several,woods
edible,bell,scaly,white,yes,anise,broad,gray,enlarging,one,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,yes,anise,narrow,white,tapering,one,pendant,brown,several,woods
edible,convex,scaly,brown,yes,almond,broad,pink,enlarging,one,pendant,black,scattered,paths
edible,bell,smooth,yellow,yes,almond,broad,black,enlarging,one,pendant,black,scattered,grasses
edible,flat,smooth,yellow,yes,anise,narrow,pink,tapering,one,pendant,brown,several,woods
edible,convex,smooth,white,yes,anise,narrow,brown,tapering,one,pendant,purple,several,woods
edible,flat,scaly,brown,yes,anise,broad,pink,enlarging,one,pendant,brown,solitary,paths
poisonous,convex,scaly,brown,yes,pungent,narrow,white,enlarging,one,pendant,brown,several,urban
edible,flat,scaly,brown,yes,almond,broad,brown,enlarging,one,pendant,brown,solitary,grasses
edible,convex,smooth,brown,no,none,broad,black,tapering,one,evanescent,brown,scattered,grasses
poisonous,convex,scaly,white,yes,pungent,narrow,white,enlarging,one,pendant,black,scattered,grasses
edible,flat,fibrous,gray,no,none,narrow,brown,enlarging,one,pendant,brown,solitary,urban
edible,convex,fibrous,gray,no,none,broad,brown,tapering,one,evanescent,brown,scattered,grasses
edible,convex,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,black,scattered,grasses
edible,convex,smooth,brown,no,none,broad,black,tapering,one,evanescent,black,scattered,grasses
edible,bell,smooth,white,yes,almond,broad,white,enlarging,one,pendant,black,scattered,grasses
edible,convex,smooth,white,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,yes,anise,broad,white,enlarging,one,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,no,none,narrow,brown,enlarging,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,narrow,brown,enlarging,one,pendant,brown,solitary,urban
edible,bell,smooth,white,yes,anise,broad,black,enlarging,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,yes,almond,broad,gray,enlarging,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,yes,anise,broad,gray,enlarging,one,pendant,black,numerous,meadows
edible,convex,smooth,brown,no,none,broad,brown,tapering,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,yes,almond,broad,gray,enlarging,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,yes,anise,broad,pink,enlarging,one,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,numerous,grasses
edible,bell,smooth,white,yes,almond,broad,gray,enlarging,one,pendant,brown,scattered,grasses
edible,convex,scaly,white,yes,almond,broad,gray,enlarging,one,pendant,black,scattered,grasses
edible,convex,fibrous,brown,no,none,broad,pink,tapering,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,yes,anise,broad,brown,enlarging,one,pendant,black,numerous,grasses
edible,flat,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,solitary,paths
edible,bell,scaly,white,yes,anise,broad,gray,enlarging,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,numerous,meadows
edible,convex,scaly,yellow,yes,almond,broad,white,enlarging,one,pendant,brown,solitary,grasses
edible,bell,scaly,white,yes,anise,broad,brown,enlarging,one,pendant,black,scattered,meadows
edible,bell,scaly,white,yes,almond,broad,gray,enlarging,one,pendant,brown,scattered,meadows
edible,convex,smooth,yellow,yes,almond,broad,black,enlarging,one,pendant,black,numerous,meadows
edible,convex,smooth,yellow,yes,anise,broad,white,enlarging,one,pendant,black,numerous,grasses
edible,sunken,fibrous,gray,no,none,narrow,gray,enlarging,one,pendant,black,solitary,urban
edible,convex,fibrous,white,yes,almond,narrow,white,tapering,one,pendant,purple,several,woods
edible,convex,smooth,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,numerous,meadows
poisonous,convex,scaly,white,yes,pungent,narrow,brown,enlarging,one,pendant,brown,several,urban
edible,convex,scaly,yellow,yes,anise,broad,pink,enlarging,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,no,none,narrow,pink,enlarging,one,pendant,brown,solitary,urban
edible,convex,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,black,solitary,grasses
edible,convex,smooth,yellow,yes,anise,narrow,pink,tapering,one,pendant,purple,several,woods
edible,sunken,fibrous,brown,no,none,narrow,black,enlarging,one,pendant,brown,solitary,urban
poisonous,convex,smooth,white,yes,pungent,narrow,black,enlarging,one,pendant,black,several,grasses
edible,convex,scaly,white,yes,almond,broad,gray,enlarging,one,pendant,brown,numerous,meadows
poisonous,flat,scaly,brown,yes,pungent,narrow,pink,enlarging,one,pendant,black,several,grasses
edible,flat,smooth,gray,no,none,broad,black,tapering,one,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,yes,anise,broad,gray,enlarging,one,pendant,brown,scattered,meadows
edible,convex,smooth,white,no,none,broad,brown,tapering,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,yes,almond,broad,white,enlarging,one,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,no,none,broad,chocolate,tapering,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,yes,anise,broad,brown,enlarging,one,pendant,black,numerous,grasses
edible,bell,smooth,white,yes,anise,broad,brown,enlarging,one,pendant,brown,scattered,meadows
edible,bell,smooth,white,yes,anise,broad,white,enlarging,one,pendant,brown,scattered,grasses
edible,bell,scaly,white,yes,anise,broad,white,enlarging,one,pendant,brown,scattered,meadows
edible,flat,smooth,white,yes,anise,narrow,white,tapering,one,pendant,purple,several,woods
edible,convex,scaly,yellow,yes,anise,broad,gray,enlarging,one,pendant,black,scattered,meadows
edible,flat,smooth,white,yes,almond,narrow,pink,tapering,one,pendant,brown,several,woods
poisonous,convex,scaly,white,yes,pungent,narrow,white,enlarging,one,pendant,brown,several,urban
edible,flat,fibrous,white,yes,anise,narrow,white,tapering,one,pendant,brown,several,woods
edible,convex,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,brown,scattered,grasses
poisonous,convex,smooth,brown,yes,pungent,narrow,pink,enlarging,one,pendant,brown,several,grasses
edible,bell,smooth,yellow,yes,anise,broad,white,enlarging,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,yes,almond,broad,white,enlarging,one,pendant,black,solitary,paths
edible,bell,scaly,yellow,yes,anise,broad,gray,enlarging,one,pendant,black,numerous,meadows
edible,sunken,fibrous,brown,no,none,narrow,black,enlarging,one,pendant,brown,several,urban
edible,flat,scaly,brown,yes,almond,broad,white,enlarging,one,pendant,black,solitary,paths
edible,convex,scaly,yellow,yes,almond,broad,black,enlarging,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,none,broad,black,tapering,one,evanescent,black,scattered,grasses
edible,flat,fibrous,white,no,none,broad,black,tapering,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,yes,anise,broad,black,enlarging,one,pendant,black,numerous,grasses
edible,bell,scaly,white,yes,almond,broad,gray,enlarging,one,pendant,black,numerous,meadows
edible,convex,scaly,white,yes,almond,broad,white,enlarging,one,pendant,brown,scattered,grasses
edible,convex,smooth,brown,no,none,broad,pink,tapering,one,evanescent,brown,abundant,grasses
edible,convex,scaly,white,yes,anise,broad,gray,enlarging,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,no,none,narrow,black,enlarging,one,pendant,black,several,urban
edible,convex,smooth,white,yes,almond,narrow,white,tapering,one,pendant,purple,several,woods
edible,convex,scaly,brown,yes,anise,broad,white,enlarging,one,pendant,black,scattered,grasses
edible,bell,scaly,yellow,yes,almond,broad,black,enlarging,one,pendant,brown,numerous,grasses
edible,convex,scaly,white,yes,almond,broad,black,enlarging,one,pendant,brown,numerous,grasses
edible,bell,scaly,white,yes,almond,broad,brown,enlarging,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,yes,almond,broad,gray,enlarging,one,pendant,black,scattered,grasses
edible,bell,smooth,yellow,yes,anise,broad,gray,enlarging,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,yes,almond,broad,brown,enlarging,one,pendant,black,numerous,grasses
edible,convex,fibrous,brown,no,none,narrow,black,enlarging,one,pendant,brown,solitary,urban
edible,flat,scaly,brown,yes,anise,broad,brown,enlarging,one,pendant,brown,solitary,grasses
edible,convex,scaly,white,yes,almond,broad,black,enlarging,one,pendant,brown,scattered,grasses
edible,flat,scaly,yellow,yes,anise,broad,white,enlarging,one,pendant,brown,solitary,paths
edible,bell,smooth,white,yes,almond,broad,white,enlarging,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,yes,almond,broad,white,enlarging,one,pendant,black,scattered,meadows
edible,convex,scaly,brown,yes,anise,broad,white,enlarging,one,pendant,black,solitary,grasses
edible,bell,smooth,white,yes,almond,broad,black,enlarging,one,pendant,black,scattered,grasses
edible,convex,fibrous,gray,no,none,narrow,gray,enlarging,one,pendant,brown,solitary,urban
edible,bell,smooth,yellow,yes,anise,broad,black,enlarging,one,pendant,brown,scattered,grasses
edible,convex,fibrous,yellow,yes,anise,narrow,brown,tapering,one,pendant,purple,several,woods
edible,bell,scaly,yellow,yes,almond,broad,white,enlarging,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,yes,anise,broad,pink,enlarging,one,pendant,brown,scattered,grasses
